College_ID,College_Name,University_Name,State,City,College_Type,Establishment_Year,NAAC_Grade,NIRF_Rank,Total_Students,Total_Faculty,Student_Faculty_Ratio,UG_Courses,PG_Courses,Placement_Percentage,Average_Package_LPA,Highest_Package_LPA,Internship_Percentage,Research_Publications,Annual_Fees_INR,Graduation_Rate,Academic_Year
CLG01458,Sardar Patel Polytechnic Institute,JNTU Hyderabad,Andhra Pradesh,Vijayawada,Government,1962,Not Accredited,69.0,4066,181.0,22.46,"B.Pharm, BCA, BA",M.Arch,66.4,2.97,8.39,66.2,35.0,82233.0,75.7,2023-24
CLG00594,St. Xavier's Polytechnic Institute,Guwahati University,Maharashtra,Mumbai,Government,1963,A,47.0,1815,82.0,22.13,"B.Pharm, BCA, B.Arch, B.Tech, LLB","M.Tech, MA, MBA, M.Sc",100.0,4.94,7.79,65.3,30.0,109306.0,84.7,2024-25
CLG00573,"Loyola College of Arts, Science and Commerce",Anna University,Himachal Pradesh,Mandi,Autonomous,2009,A,428.0,1636,66.0,24.79,LLB,Not Available,49.7,4.91,12.23,73.6,19.0,156983.0,85.4,2023-24
CLG00052,St. Stephen's Medical College,Lovely Professional University,Madhya Pradesh,Indore,Government,2002,B+,403.0,2569,232.0,11.07,"B.Sc, B.Arch",M.Pharm,56.7,9.34,15.68,19.0,13.0,109349.0,77.0,2024-25
CLG00721,Kirori Mal College of Engineering,Lovely Professional University,West Bengal,Kolkata,Private,1978,C,382.0,4019,199.0,20.2,"B.Arch, BA, B.Com, B.Tech, B.Pharm","M.Arch, M.Pharm, MA, M.Com",78.9,15.81,24.33,81.4,40.0,230452.0,100.0,2022-23
CLG00803,Rajiv Gandhi Medical College,Sharda University,Delhi,Delhi,Private,1997,A,217.0,4692,253.0,18.55,"B.Tech, B.Pharm, LLB, BA",Not Available,70.3,11.13,21.53,79.8,53.0,417974.0,82.5,2023-24
CLG00416,Indian Institute of Technology Roorkee,Bangalore University,Telangana,Warangal,Government,1987,B,247.0,6003,361.0,16.63,B.Com,"M.Com, M.Sc",53.0,13.56,19.7,76.7,23.0,37896.0,72.1,2022-23
CLG00345,Shiv Nadar Institute of Higher Education,Dr. APJ Abdul Kalam Technical University,Bihar,Gaya,Government,2004,B,124.0,3777,309.0,12.22,"BA, B.Com, BBA, B.Tech",Not Available,86.9,7.54,32.8125,31.6,74.0,91761.0,67.2,2022-23
CLG01570,Bhavan's Medical College,Kurukshetra University,West Bengal,Siliguri,Private,1990,A,471.0,3836,412.0,9.31,"B.Sc, BCA, B.Tech, LLB, BA",LLM,94.9,8.97,30.11,79.5,62.0,251067.0,85.1,2022-23
CLG00341,National Institute of Technology Bhopal,Savitribai Phule Pune University,Maharashtra,Nagpur,Government,2005,A,313.0,3833,176.0,21.78,"B.Tech, B.Sc, BCA, LLB",M.Com,93.0,5.19,9.94,83.0,11.0,73536.0,90.8,2022-23
CLG01786,Rajiv Gandhi College of Commerce and Economics,Lovely Professional University,Uttarakhand,Dehradun,Government,1966,B+,282.0,4362,375.0,11.63,"B.Tech, BA, BBA, B.Pharm, B.Arch","LLM, MA, MCA",64.9,10.5,16.77,75.2,0.0,87772.0,84.1,2022-23
CLG01484,Vivekananda Institute of Technology and Science,Manipal Academy of Higher Education,Madhya Pradesh,Indore,Government,2002,A,46.0,537,49.0,10.96,"BCA, LLB, BA, B.Sc","M.Sc, M.Arch, MBA",59.6,5.6,7.83,56.7,1.0,89729.0,76.2,2023-24
